event1,event2,correlation
user_ipc,(((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit))+mini_exception),-0.8420750832469914
user_ipc,(((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit))+mini_exception),-0.8420750832469914
user_ipc,(((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit))+npc_from_core),-0.8412939118795836
user_ipc,(((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit))+npc_from_core),-0.8412939118795836
user_ipc,(((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit))+exe_misp_jalr),-0.8401022821122457
user_ipc,(((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit))+exe_misp_br),-0.8398231063942193
user_ipc,(((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit))+(itlb_access-itlb_hit)),-0.839704862219179
user_ipc,(((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit))+exe_misp_jalrcall),-0.8395494461862493
user_ipc,(((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit))+exe_misp_ret),-0.8395344880448519
user_ipc,((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit)),-0.8394754942664152
user_ipc,((dcache_nack_num+dtlb_miss_num)+(icache_access-icache_hit)),-0.8394754942664152
user_ipc,(((dcache_nack_num+fb_out_zero)-(icache_access-icache_hit))+npc_from_f2),-0.8368550914761177
user_ipc,(((dcache_nack_num+dtlb_miss_num)+npc_from_f3)-exe_misp_br),-0.8360897619023838
user_ipc,((dcache_nack_num+dtlb_miss_num)+npc_from_f3),-0.8336043019059326
user_ipc,(dcache_nack_num+dtlb_miss_num),-0.8008939492512116
user_ipc,(dcache_nack_num+fb_out_zero),-0.7799625932955127
user_ipc,npc_from_f1,-0.7136032854041159
user_ipc,dcache_nack_num,-0.555205026307278
